"game_name","game_name_abbr","index_name","game_index","cluster","neighbor","sil_width","include"
"连点成画PRO","FPTPro","nc","FPTPro.nc",1,4,0.7656230253723123,TRUE
"小狗回家","Racer","mean_score","Racer.mean_score",1,4,0.7656230253723123,TRUE
"变戏法","AntiSac","ies","AntiSac.ies",1,4,0.7607829638138361,TRUE
"一心二用PRO","DualTaskPro","nc","DualTaskPro.nc",1,4,0.7475154072317786,TRUE
"我是大厨","MSynWin","score_total","MSynWin.score_total",1,4,0.6640176727114628,TRUE
"快速归类PRO","CRTPro","ies","CRTPro.ies",1,4,0.5317614901135447,FALSE
"超级秒表PRO","SRTPro","mrt","SRTPro.mrt",1,4,0.5317614901135446,FALSE
"事件记忆","EOT","nc","EOT.nc",2,1,0.8429930330487312,TRUE
"词汇学习","VL","nc","VL.nc",2,1,0.8429930330487312,TRUE
"社交达人","FName","fntotal","FName.fntotal",2,1,0.8418904111695079,TRUE
"视觉记忆测试","VMT","nc","VMT.nc",2,1,0.8357226266472879,TRUE
"万花筒","ObjSpan","nc","ObjSpan.nc",2,1,0.8227822498561864,TRUE
"过目不忘PRO","FWSPro","nc","FWSPro.nc",2,1,0.8048747184167606,TRUE
"宇宙黑洞A","LocMemStd","nc","LocMemStd.nc",2,1,0.7670493351123115,FALSE
"人工语言-高级","AscLanAdv","nc","AscLanAdv.nc",2,1,0.746505925774998,FALSE
"欢乐餐厅PRO","AscMemPro","nc","AscMemPro.nc",2,1,0.746505925774998,FALSE
"图片记忆A","BPSA","bps_score","BPSA.bps_score",2,1,0.727537756384999,FALSE
"连续再认PRO","ConRecPro","dprime","ConRecPro.dprime",2,1,0.727537756384999,FALSE
"候鸟迁徙PRO","BirdsPro","cong_eff_ies","BirdsPro.cong_eff_ies",3,1,0.7171440335938013,TRUE
"多彩文字PRO","ColStrpPro","cong_eff_ies","ColStrpPro.cong_eff_ies",3,1,0.7171440335938013,TRUE
"数感","NsymNCmp","w","NsymNCmp.w",3,1,0.716223757657136,TRUE
"捉虫高级简版","TOVAS","dprime","TOVAS.dprime",3,1,0.716223757657136,TRUE
"注意指向","AttenOrient","cong_eff_ies","AttenOrient.cong_eff_ies",3,1,0.7141113863353377,TRUE
"变色魔块PRO","StopSigPro","ssrt","StopSigPro.ssrt",3,1,0.7095533061007675,TRUE
"卡片分类PRO","CardSortPro","switch_cost_ies","CardSortPro.switch_cost_ies",3,1,0.6997652871905021,TRUE
"方向检测","FiltOrient","k","FiltOrient.k",3,1,0.6928477265899907,TRUE
"时间顺序判断","TOJ","thresh_last_block","TOJ.thresh_last_block",3,1,0.6921353250899626,TRUE
"言语记忆A","DRMA","fm_dprime","DRMA.fm_dprime",3,1,0.6553386635040471,FALSE
"时长分辨","DD","thresh_last_block","DD.thresh_last_block",3,1,0.5682578082820138,FALSE
"节奏感知","RP","thresh_last_block","RP.thresh_last_block",3,1,0.5682578082820137,FALSE
"火眼金睛","AttSrc","nc","AttSrc.nc",4,1,0.6908136975894157,TRUE
"雪花收藏家","DirectSrc","nc_cor","DirectSrc.nc_cor",4,1,0.6908136975894157,TRUE
"舒尔特方格（中级）","SchulteMed","nc_cor","SchulteMed.nc_cor",4,1,0.642131706028439,TRUE
"方向临摹","JLO","mean_log_err","JLO.mean_log_err",4,1,0.5177020449310474,TRUE
"察颜观色PRO","FacesPro","switch_cost_ies","FacesPro.switch_cost_ies",5,6,0.9448585303539592,TRUE
"随机应变","NumLet","switch_cost_ies","NumLet.switch_cost_ies",5,6,0.9448585303539592,TRUE
"候鸟迁徙PRO","BirdsPro","switch_cost_ies","BirdsPro.switch_cost_ies",5,6,0.9344281270698971,TRUE
"多变计数师","ReflectCount","switch_cost_ies","ReflectCount.switch_cost_ies",5,6,0.8937459610714162,TRUE
"词语判断","Lexic","nc","Lexic.nc",6,8,0.8542035445708772,TRUE
"声调判断","Tone","nc","Tone.nc",6,8,0.8542035445708772,TRUE
"语义判断","Seman","nc","Seman.nc",6,8,0.8281228254876298,TRUE
"速算师（中级）","CalcMed","nc","CalcMed.nc",6,8,0.7448206724907227,TRUE
"视角判断","VAT","nc","VAT.nc",7,4,0.6565149634994848,TRUE
"三维心理旋转测试A","MR3DA","nc","MR3DA.nc",7,4,0.6565149634994847,TRUE
"平面展开","Unfolding","nc","Unfolding.nc",7,4,0.6557107695844296,TRUE
"图形推理","NVR","nc","NVR.nc",7,4,0.655060054749427,TRUE
"登陆月球（中级）","NLEMed","mean_log_err","NLEMed.mean_log_err",7,4,0.6451198791097943,TRUE
"数字推理","DR","nc","DR.nc",7,4,0.6296331965170014,TRUE
"按图索骥","HOP","mean_log_err_both","HOP.mean_log_err_both",7,4,0.5824023143550937,TRUE
"格子卡片","Grid2back","dprime","Grid2back.dprime",7,4,0.5303661815811975,FALSE
