game_name,subset,format,parts,note
火眼金睛,,duration,3,
按图索骥,,trials,6,
方向临摹,,trials,5,
登陆月球（中级）,,trials,3,
连点成画PRO,,duration,4,
各得其所,,trials,6,
位置记忆PRO,,trials,5,
顺背数PRO,,trials,5,
宇宙黑洞A,,trials,6,
欢乐餐厅PRO,,blocks,,
蝴蝶照相机,,trials,7,
打靶场,,trials,8,
密码箱,,trials,6,
舒尔特方格（中级）,,duration,5,
我是大厨,,trials,6,"Duration task, but no time"
萤火虫PRO,,trials,3,
雪花收藏家,,trials,5,
幸运小球PRO,,trials,14,
视角判断,,items,8,
人工语言-高级,,sequential,,
瑞文高级推理,,,,
在线实验被试须知,,,,
个人背景信息调查,,,,
图片记忆A,"phase == ""test""",trials,3,
言语记忆A,,trials,2,
语义判断,,duration,3,
声调判断,,duration,3,
词语判断,,duration,3,
捉虫高级简版,,trials,9,
时间顺序判断,,trials,2,
节奏感知,,trials,5,
时长分辨,,trials,3,
快速归类PRO,,trials,6,
超级秒表PRO,,trials,4,
数感,,trials,5,
速算师（中级）,,duration,6,
连续再认PRO,,trials,5,
魔术师终极,,trials,4,
候鸟迁徙PRO,,trials,6,
太空飞船PRO,,trials,3,
变戏法,,trials,5,
多彩文字PRO,,trials,6,
一心二用PRO,,duration,6,
小狗回家,,duration,6,
美术卡片,,trials,3,
卡片分类PRO,,trials,3,
注意警觉,,trials,10,
塔罗牌,,,,
变色魔块PRO,,trials,7,
日常记忆表现,,,,
睡眠信念和态度,,,,
睡眠类型,,,,
近一个月睡眠质量,,,,
昨夜睡眠质量,,,,
遗忘与错误记忆严重性,,,,
遗忘与错误记忆频率,,,,
路径学习,,sequential,,
城市导航,,trials,7,
平面展开,,items,,
图形推理,,items,,
井然有序,,trials,9,
数字推理,,items,,
强化学习,,,,
数字卡片PRO,,trials,3,
多变计数师,,trials,5,
专注大师_中级,,duration,15,
DRM错误记忆-记忆策略,,,,
注意指向,,trials,10,
格子卡片,,trials,3,
随机应变,,trials,7,
方向检测,,trials,8,
动词产生A,,,,
人工词典A,,,,
多用途A,,,,
远距离联想A,,,,
阅读判断,,duration,5,
视觉记忆学习,,,,
视觉记忆测试,,items,,
图形折叠,,items,,
物体旋转,,items,,
远距离联想,,items,,
记忆策略的使用,,,,
文字卡片,,trials,5,
察颜观色PRO,,trials,6,
色彩检测,,trials,8,
天马行空,,,,
词汇学习,,sequential,,
万花筒,,trials,5,
事件记忆,,blocks,,
社交达人,,sequential,,
三维心理旋转测试A,,items,,
过目不忘PRO,,trials,7,
文字推理,,items,,
CVLT记忆策略,,,,
社交达人记忆策略,,,,
序列记忆-记忆策略,,,,
