game_name,game_name_abbr,index_name,include
远距离联想,RAT,nc,TRUE
文字推理,VR,nc,TRUE
密码箱,KeepTrack,nc,TRUE
井然有序,ManipSpan,nc,TRUE
顺背数PRO,FDSPro,nc,TRUE
幸运小球PRO,OCSpanPro,nc,TRUE
强化学习,ProbRL,pc_test,TRUE
塔罗牌,WxPred,nc,TRUE
阅读判断,Reading,nc,TRUE
数字推理,DR,nc,TRUE
瑞文高级推理,RAPM,nc_test,FALSE
平面展开,Unfolding,nc,TRUE
视角判断,VAT,nc,TRUE
图形折叠,FR,nc,TRUE
三维心理旋转测试A,MR3DA,nc,TRUE
登陆月球（中级）,NLEMed,mean_log_err,TRUE
图形推理,NVR,nc,TRUE
物体旋转,ObjRot,nc,TRUE
按图索骥,HOP,mean_log_err_both,TRUE
各得其所,LdnTwr,prop_perfect,TRUE
萤火虫PRO,MOTPro,nc,TRUE
路径学习,PL,nc,TRUE
打靶场,RSpan,nc,TRUE
蝴蝶照相机,SCSpan,nc,TRUE
位置记忆PRO,SSTMPro,nc,TRUE
方向临摹,JLO,mean_log_err,TRUE
火眼金睛,AttSrc,nc,TRUE
雪花收藏家,DirectSrc,nc_cor,TRUE
注意警觉,AttenAlert,alert_ies,FALSE
小狗回家,Racer,mean_score,TRUE
我是大厨,MSynWin,score_total,TRUE
一心二用PRO,DualTaskPro,nc,TRUE
连点成画PRO,FPTPro,nc,TRUE
快速归类PRO,CRTPro,ies,TRUE
时长分辨,DD,thresh_peak_valley,TRUE
节奏感知,RP,thresh_peak_valley,TRUE
时间顺序判断,TOJ,thresh_peak_valley,TRUE
变色魔块PRO,StopSigPro,ssrt,TRUE
变戏法,AntiSac,ies,TRUE
超级秒表PRO,SRTPro,mrt,TRUE
随机应变,NumLet,switch_cost_ies,TRUE
候鸟迁徙PRO,BirdsPro,switch_cost_ies,TRUE
察颜观色PRO,FacesPro,switch_cost_ies,TRUE
卡片分类PRO,CardSortPro,switch_cost_ies,TRUE
多变计数师,ReflectCount,switch_cost_ies,TRUE
舒尔特方格（中级）,SchulteMed,nc_cor,TRUE
语义判断,Seman,nc,TRUE
速算师（中级）,CalcMed,nc,TRUE
专注大师_中级,CalcSpdMed,nc,TRUE
词语判断,Lexic,nc,TRUE
声调判断,Tone,nc,TRUE
图片记忆A,BPSA,bps_score,TRUE
连续再认PRO,ConRecPro,dprime,TRUE
言语记忆A,DRMA,tm_dprime,TRUE
事件记忆,EOT,nc,TRUE
万花筒,ObjSpan,nc,TRUE
视觉记忆测试,VMT,nc,TRUE
社交达人,FName,fntotal,TRUE
词汇学习,VL,nc,TRUE
城市导航,LocMemAdv,nc,TRUE
宇宙黑洞A,LocMemStd,nc,TRUE
过目不忘PRO,FWSPro,nc,TRUE
人工语言-高级,AscLanAdv,nc,TRUE
欢乐餐厅PRO,AscMemPro,nc,TRUE
魔术师终极,Nback4,dprime,TRUE
数字卡片PRO,Digit3back,dprime,TRUE
文字卡片,Verbal3back,dprime,TRUE
格子卡片,Grid2back,dprime,TRUE
美术卡片,Paint2back,dprime,TRUE
色彩检测,FiltColor,k,TRUE
方向检测,FiltOrient,k,TRUE
太空飞船PRO,FlkrPro,cong_eff_ies,TRUE
注意警觉,AttenAlert,cong_eff_ies,TRUE
注意指向,AttenOrient,cong_eff_ies,TRUE
数感,NsymNCmp,w,TRUE
多彩文字PRO,ColStrpPro,cong_eff_ies,TRUE
候鸟迁徙PRO,BirdsPro,cong_eff_ies,TRUE
捉虫高级简版,TOVAS,dprime,TRUE
