game_id,effect,key,rt_min,rt_max,note
224374703641029,simple,,0.25,,
224376556507589,switch,TaskType,0.25,10,
224377200398533,cong,StimType,0.15,,
224377200398533,switch,TaskType,0.15,,
224377200398533,comp,,0.15,,
224377872388293,switch,Type,0.25,,possible RT error! Mostly larger than 0.5s
224378628399301,cong,Type,0.25,,
224379118576069,cong,Type,0.25,,
225191359021253,simple,,0.25,10,
225191359021253,nback,Type,0.25,10,
225191769534981,simple,,0.25,10,
225191769534981,nback,Type,0.25,10,
225525419221509,simple,,0.25,10,
225525419221509,nback,Type,0.25,10,
225525822632453,simple,,0.25,10,
225525822632453,nback,Type,0.25,10,
238239294447813,simple,,0.25,10,
238239294447813,anti,TarDur,0.25,10,
268008982663269,simple,,0.25,,
375903641948933,switch,TaskType,0.25,10,
380173315257221,cong,StimType,0.25,,
380173315257221,orient,Cue,0.25,,
380174783693701,cong,StimType,0.25,,
380174783693701,alert,CueType,0.25,,
380176247862021,switch,Type,0.25,10,
